county Name,01,02,03,04,05,06,07,08,09,10,11,12
Ada,75.96774193548387,53.607142857142854,45.58064516129032,37.3,32.16129032258065,31.233333333333334,37.5,37.22222222222222,17.733333333333334,47.74193548387097,57.13333333333333,75.0
Adams,56.693548387096776,42.388888888888886,47.70967741935484,52.85,58.46774193548387,67.86666666666666,62.87096774193548,70.7258064516129,58.45,49.25806451612903,48.166666666666664,64.41935483870968
Aiken,31.071428571428573,40.464285714285715,64.86666666666666,27.533333333333335,14.709677419354838,30.724137931034484,108.06451612903226,64.16666666666667,49.36666666666667,35.611111111111114,25.035714285714285,23.225806451612904
Alachua,6.161290322580645,5.5,8.0,1.8666666666666667,3.903225806451613,3.0,1.2413793103448276,0.4827586206896552,4.733333333333333,3.4193548387096775,6.793103448275862,12.483870967741936
Alameda,49.54838709677419,44.107142857142854,46.96774193548387,49.46666666666667,49.0,57.56666666666667,70.64516129032258,59.74193548387097,44.7,59.483870967741936,66.4,55.61290322580645
Albany,53.29032258064516,47.65625,52.0,54.578947368421055,30.75,28.4,42.30769230769231,59.27777777777778,61.88235294117647,53.82857142857143,58.84848484848485,54.05714285714286
Alexandria City,44.516129032258064,49.57142857142857,47.12903225806452,59.275862068965516,58.29032258064516,50.9,57.58064516129032,52.806451612903224,50.833333333333336,54.70967741935484,46.733333333333334,48.25806451612903
Allegany,65.12903225806451,56.535714285714285,46.32258064516129,39.5,35.87096774193548,34.0,37.67741935483871,40.935483870967744,31.633333333333333,34.29032258064516,36.63333333333333,40.38709677419355
Allegheny,113.61290322580645,85.78571428571429,128.5483870967742,136.2,117.09677419354838,108.36666666666666,116.3225806451613,102.61290322580645,111.03333333333333,123.09677419354838,112.86666666666666,103.2258064516129
Allen,28.096774193548388,31.928571428571427,28.29032258064516,52.35,55.16129032258065,51.916666666666664,54.75806451612903,49.16129032258065,37.483333333333334,27.725806451612904,23.06122448979592,24.467741935483872
Alpena,,,,,,,,28.0,7.0,14.6,25.6,20.333333333333332
Anchorage ,62.645161290322584,67.78571428571429,59.67741935483871,49.43333333333333,48.225806451612904,46.1,33.225806451612904,21.64516129032258,33.0,61.516129032258064,52.13333333333333,57.193548387096776
Anderson,61.774193548387096,59.75,54.54838709677419,60.266666666666666,55.67741935483871,40.733333333333334,39.193548387096776,49.16129032258065,40.266666666666666,42.32258064516129,39.766666666666666,47.193548387096776
Androscoggin,49.12,45.92857142857143,45.903225806451616,25.0,22.93548387096774,17.88,16.0,15.419354838709678,21.866666666666667,30.870967741935484,43.56,44.67741935483871
Anne Arundel,52.03225806451613,51.25,55.03225806451613,56.53333333333333,95.45161290322581,112.96666666666667,122.0,87.83870967741936,58.266666666666666,45.0,40.3,42.67741935483871
Anoka,21.06451612903226,27.464285714285715,32.54838709677419,34.266666666666666,41.516129032258064,41.78260869565217,45.58064516129032,24.333333333333332,10.433333333333334,16.580645161290324,15.666666666666666,19.451612903225808
Apache,19.612903225806452,13.0,3.3225806451612905,,,,,,,,,
Arapahoe,53.45161290322581,38.964285714285715,45.806451612903224,57.93333333333333,67.25806451612904,69.86666666666666,64.58064516129032,83.25806451612904,46.6,42.61290322580645,56.333333333333336,59.774193548387096
Archuleta,71.46428571428571,46.19230769230769,50.7037037037037,44.92857142857143,34.44827586206897,29.689655172413794,26.5,27.142857142857142,23.25,45.22222222222222,44.0,44.875
Arkansas,24.266666666666666,22.5,30.133333333333333,25.2,33.266666666666666,34.06666666666667,43.9375,41.13333333333333,35.46666666666667,28.125,33.857142857142854,28.928571428571427
Arlington,52.83870967741935,57.5,46.29032258064516,54.766666666666666,85.0,88.58620689655173,99.87096774193549,68.19354838709677,47.766666666666666,42.58064516129032,43.5,43.096774193548384
Aroostook,65.7741935483871,73.25,76.2258064516129,75.13333333333334,67.80645161290323,78.5,65.09677419354838,52.61290322580645,71.03333333333333,83.93548387096774,66.53333333333333,73.74193548387096
Ashtabula,58.516129032258064,55.67857142857143,55.29032258064516,68.63333333333334,67.70967741935483,69.0,67.61290322580645,62.12903225806452,43.5,45.16129032258065,36.06666666666667,41.0
Asotin,35.0,38.6,53.0,41.8,39.6,,24.0,,,,,
Atlantic,43.58064516129032,48.5,49.83870967741935,52.3448275862069,70.36666666666666,78.43333333333334,82.45161290322581,69.41935483870968,51.6,34.54838709677419,32.8,31.966666666666665
Audrain,28.5,,24.75,20.0,,,,,20.666666666666668,28.8,20.0,21.0
Augusta,33.41935483870968,31.5,46.193548387096776,52.93103448275862,62.3,76.72413793103448,72.35483870967742,60.1,43.666666666666664,34.793103448275865,24.966666666666665,25.466666666666665
Baltimore,59.74193548387097,66.42857142857143,67.41935483870968,61.46666666666667,93.03225806451613,107.93333333333334,101.83870967741936,96.35483870967742,62.06666666666667,63.03225806451613,54.2,53.903225806451616
Baltimore (City),78.51612903225806,78.14285714285714,78.93548387096774,75.3,77.03225806451613,81.8,87.96774193548387,73.19354838709677,66.06666666666666,65.58064516129032,69.46666666666667,64.2258064516129
Bannock,55.903225806451616,69.64,103.3,106.33333333333333,89.78571428571429,69.5,26.35483870967742,51.13333333333333,66.17241379310344,63.0,86.75862068965517,40.63333333333333
Barnwell,28.903225806451612,34.25,53.41935483870968,73.26666666666667,62.774193548387096,71.63333333333334,80.48275862068965,46.74193548387097,41.91304347826087,16.47826086956522,7.153846153846154,23.523809523809526
Beaufort,21.161290322580644,20.0,18.7,19.2,15.483870967741936,11.433333333333334,21.06451612903226,9.4,11.8,20.533333333333335,22.366666666666667,18.785714285714285
