county Name,01,02,03,04,05
Adams,30.065573770491802,32.05128205128205,31.182795698924732,26.764705882352942,
Aiken,,32.6,41.666666666666664,46.86666666666667,
Alameda,60.45161290322581,50.285714285714285,,,
Alamosa,29.82758620689655,15.592592592592593,19.774193548387096,36.3,
Albany,44.82258064516129,43.017857142857146,34.85,,
Albemarle,29.7,25.6,,,
Allegany,20.64516129032258,50.32142857142857,17.838709677419356,,
Allegheny,58.483870967741936,54.42857142857143,44.193548387096776,,
Allen,31.016129032258064,30.785714285714285,34.75609756097561,,
Anderson,,25.40909090909091,36.483870967741936,39.53333333333333,
Androscoggin,28.032258064516128,30.392857142857142,40.774193548387096,41.833333333333336,
Anne Arundel,13.894736842105264,6.296296296296297,39.903225806451616,,
Anoka,47.12903225806452,46.857142857142854,37.193548387096776,,
Apache,11.1,10.964285714285714,9.580645161290322,10.8,
Arapahoe,38.54838709677419,42.107142857142854,46.38709677419355,,
Archuleta,32.96774193548387,24.357142857142858,44.41935483870968,57.37931034482759,
Arkansas,31.375,27.5,34.8,,
Arlington,37.3,32.888888888888886,,,
Aroostook,45.45161290322581,44.92857142857143,30.870967741935484,32.333333333333336,
Ascension,29.93548387096774,25.785714285714285,42.25806451612903,50.9,
Ashland,34.464285714285715,,,,
Ashley,21.9,22.8,32.7,,
Ashtabula,0.9032258064516129,0.8214285714285714,39.41935483870968,,
Asotin,30.903225806451612,,,,
Athens,30.2,27.0,18.8,,
Avery,35.82608695652174,34.5,,,
BAJA CALIFORNIA NORTE,117.90322580645162,92.10714285714286,56.774193548387096,71.57894736842105,
Baltimore,45.483870967741936,39.32142857142857,41.483870967741936,,
Baltimore (City),42.806451612903224,39.7037037037037,40.83870967741935,,
Bannock,22.93548387096774,13.821428571428571,8.290322580645162,13.166666666666666,
Barnstable,34.903225806451616,36.888888888888886,42.0,,
Bartholomew,37.064516129032256,38.57142857142857,38.29032258064516,,
Bay,22.0,,,,
Beaufort,1.4838709677419355,3.5,1.1612903225806452,,
Becker,23.258064516129032,20.714285714285715,28.193548387096776,,
Belmont,23.387096774193548,21.357142857142858,18.516129032258064,,
Beltrami,29.310344827586206,25.214285714285715,25.29032258064516,,
Benton,22.774193548387096,,,,
