,County Name,01,02,03,04,05,06,07,08,09,10,11,12,Latitude,Longitude
0,Adams,21.913978451612905,13.0757095,42.1675766,48.7831893,58.88457562962962,66.18736475,69.83394506451613,70.72882592857142,64.25,49.787946375,26.258141166666675,26.314880928571423,36.7430159,-95.9116595
1,Apache,87.51920549006624,93.1449959925373,105.02696829870129,122.1947887785235,135.17266425,204.99550726666664,155.4358129741935,153.1694382709677,136.33580025170065,,,,36.192139,-95.93769999999999
2,Arapahoe,23.172043064516128,16.166893083333335,41.1310231,46.65378116666667,56.92388418518519,64.73315044827586,68.81248116129031,70.34820862068966,63.966666733333334,50.2172618125,22.18730453333334,25.594430214285715,39.62031,-104.332644
3,Aroostook,5.754207612903227,15.630952321428571,22.860390354838714,33.566666600000005,48.71242403225807,58.1348485,63.92069893548386,61.046575580645154,55.18388893333334,42.90188177419355,28.3180555,10.595430096774189,46.819941,-68.4766064
4,Bexar,45.22320051612903,52.09341236363637,65.2091746779661,69.1580133,74.03322556363634,78.54522946666665,80.81924970967742,83.98914712903225,74.09167589473681,67.03890473770491,60.774510466666676,49.0529160483871,29.4200763,-98.5721016
6,Billings,12.661652692307696,16.97884501886793,31.290900066666666,45.61609358,60.11288179591836,60.84022723333333,73.19742076363634,63.23546242372882,51.43346089655172,43.296041525423725,13.517202807017545,13.412357901639345,45.7832856,-108.5006904
7,Boulder,19.690860161290317,11.37620775,36.67256768421053,43.50922983333333,52.808488607142856,59.96812962068965,62.966222483870965,64.22592486206896,57.086868599999995,45.74826387499999,21.488136800000003,22.259523750000003,40.0149856,-105.2705456
8,Brazoria,,,,,78.932291625,79.72189833333333,81.18939922580647,82.58578783870966,78.1592392,71.42069903225806,66.59305556666666,49.212833032258075,29.2131857,-95.4777811
9,Bristol,25.06586020967742,33.06175591071429,40.64045693548388,49.49284421666667,58.036290322580655,63.81080915,72.64015308064516,70.8948507704918,66.45833336666666,55.73808651612902,46.17708335,32.91496880327868,36.5951059,-82.18874439999999
10,Buffalo,,,,,,,69.99174351612903,65.0628054516129,58.254166566666676,47.72983867741936,24.497222200000003,7.25806458064516,42.88644679999999,-78.8783689
11,Catron,85.13833458064519,88.93874100000002,100.45069949999998,118.61977944827585,130.49149983870967,149.91710796551726,150.1017533548387,147.87736748387096,131.35601786666666,,,,34.1515173,-108.4276047
12,Chambers,44.810911532258075,50.65818863541666,63.43568841129032,69.26285109166666,74.8501941532258,79.51745471666666,79.81819813821137,81.36780413709677,76.23897300833337,69.53467662903228,64.85605157499997,49.51880262096776,37.4172318,-95.6814077
13,Charleston,44.48655909677421,48.87337803571428,56.256720483870964,63.08333330000002,70.37948103448277,76.97095955555557,78.875606,77.15909080000002,72.98188403333333,69.55282841935484,64.34175481481482,46.996704161290324,32.7764749,-79.93105120000001
14,Clackamas,34.34811822580645,38.65104171428572,42.58525348387097,50.07498933333333,54.5223777,61.209544900000004,69.40049006451612,64.42684332258064,57.35742756666666,50.796206096774185,35.622145433333344,33.44011003333333,45.2023855,-122.1188945
15,Coos,11.482715517241378,21.843855964285716,28.78397733333333,40.27345786666667,52.20920593548386,56.422593037037046,65.07977722222222,61.624824677419355,55.58024246428572,45.27766945833333,35.00231336666666,19.373119870967734,43.242897,-124.105737
16,Dakota,15.343793903225805,20.19632888888889,39.84399232258065,54.663991300000006,65.45204712903225,67.3483696,74.91508880645159,69.19026520689654,62.35716373333334,51.73204060000001,29.10332123333333,12.34625,32.297298,-95.3051814
17,Dallas,39.27818890322581,48.17879748101266,61.65263774157304,67.35833339999999,73.88440861290323,79.73888886666667,83.66219412903227,86.96696244086023,77.61553622727273,67.96851580645163,58.047916688888904,44.060717655913976,32.7766642,-96.79698789999999
18,Daniels,9.174486741935484,11.581845285714286,29.629032161290326,44.56607133333333,55.91783548387097,57.218372625,,,,,,,36.34547999999999,-94.209898
19,Dearborn,22.33666432258065,28.936011892857127,46.455645129032256,58.73333320000001,64.17607522580644,68.19623013333333,73.61251396666667,71.44086016129033,67.4476912,59.09005377419354,49.12425206666668,27.00610941935484,42.3222599,-83.17631449999999
20,Denton,37.00903503225806,44.58553310714286,59.82392474193547,,,,82.53929860714288,85.17432982142857,76.13749996666667,66.49005480645161,56.32777773333333,41.35907361290323,33.2148412,-97.13306829999999
21,Denver,,,,,,,,,,,11.4166666,29.307242142857145,39.7392358,-104.990251
22,Dunn,9.165322516129027,13.123120392857144,31.62096777419355,,,,69.64681735483872,61.00677893548386,48.84545443333334,,,,36.1841285,-95.3424823
23,El Paso,41.82170407526881,47.931547619047635,57.464027444444426,66.85095695505615,75.7506762159091,82.45874515730337,83.92362615217395,82.49187875,73.80047383333333,64.01590174193547,55.46612118888889,46.64641773118279,31.7618778,-106.4850217
24,Ellis,,,,,,,,86.16564778260869,75.66066643333333,66.10028848275864,56.95434776666666,43.52380003333334,40.6994748,-74.0395587
26,Fairfield,28.11942976612904,32.955647205357145,41.23372066129031,50.94412741666667,60.3806294435484,64.87709468333333,72.14095158536584,71.09979970731706,65.62860367241382,55.97651642741933,46.8896191512605,33.04303152845528,41.1408363,-73.2612615
27,Floyd,23.68639770967741,31.05756225,48.56538019354839,59.95362103333333,65.52839582258065,69.83680561666668,75.51792053225806,72.90833924193548,67.79962123333333,60.53308153225807,51.13263893333333,29.183467790322574,37.1261813,-96.1849084
28,Franklin,14.56758829032258,24.057879178571426,31.652762,42.3730622,53.82386629032258,59.51604555555554,68.51260958064516,64.87664196666667,59.31494943333334,49.073924677419356,36.920436533333344,21.02995383870968,37.09024,-95.712891
