,county Name,01,02,03,04,05,06,07,08,09,10,11,12,Latitude,Longitude
2,Adair,27.032258064516128,37.57142857142857,49.193548387096776,62.0,60.26666666666666,69.2,60.903225806451616,57.23333333333333,67.36666666666666,55.064516129032256,37.06666666666667,29.548387096774192,36.4367575,-95.2713584
3,Adams,36.714285714285715,41.8918918918919,39.075268817204304,43.477777777777774,45.95555555555556,49.854748603351965,47.494623655913976,45.248648648648654,44.54748603351955,37.215053763440864,38.39622641509434,36.77439024390244,36.7430159,-95.9116595
4,Addison,41.54545454545455,44.555555555555564,27.8,25.1,23.272727272727273,60.1,41.1,47.6,42.5,27.272727272727273,35.1,39.5,32.96179,-96.82916850000001
6,Aiken,22.387096774193548,18.035714285714285,28.258064516129032,68.1,71.7741935483871,47.5,45.9,49.25806451612904,59.06666666666667,41.86666666666667,25.3,21.161290322580644,33.5604168,-81.7195533
7,Alachua,36.19354838709677,40.92857142857143,46.967741935483865,68.73333333333333,61.612903225806456,39.23333333333333,40.645161290322584,38.29032258064515,47.5,41.2258064516129,39.5,35.935483870967744,29.7938144,-82.49442260000001
8,Alamance,44.9,48.625,43.3,48.0,57.90909090909091,56.7,66.8,70.4,61.5,43.0,51.6,39.9,36.0117388,-79.4253776
9,Alameda,58.516129032258064,46.214285714285715,42.096774193548384,40.63333333333333,40.032258064516135,37.5,58.967741935483865,54.774193548387096,55.16666666666666,42.32258064516129,50.2,65.51612903225806,37.7652065,-122.2416355
10,Alamosa,17.967741935483872,20.75,21.032258064516128,26.7,17.612903225806452,24.03333333333333,26.516129032258068,16.3,16.533333333333335,15.129032258064516,31.63333333333333,30.87096774193548,37.4694491,-105.8700214
11,Albany,33.75,40.15151515151515,40.97222222222222,45.828571428571436,39.41666666666666,64.91428571428571,44.52777777777778,45.47222222222222,43.514285714285705,31.216216216216218,32.0,31.944444444444446,42.6525793,-73.7562317
13,Alexander,,,,65.73333333333333,66.96774193548387,54.66666666666666,45.612903225806456,50.0,57.86666666666667,39.354838709677416,,,35.8974199,-81.20781640000001
14,Alexandria City,37.25806451612903,52.35714285714285,43.41935483870968,46.555555555555564,47.903225806451616,53.33333333333334,65.61290322580646,71.87096774193549,52.9,24.451612903225808,21.233333333333334,32.83870967741935,38.8048355,-77.0469214
15,Allegan,47.25806451612904,56.481481481481474,44.73333333333333,57.3,53.967741935483865,92.2,71.2258064516129,73.12903225806451,66.3,36.645161290322584,34.2,49.66666666666666,42.5291989,-85.8553031
16,Allegheny,61.483870967741936,75.14285714285714,72.12903225806451,85.0,74.83870967741936,103.5,96.77419354838709,94.74193548387095,96.86666666666666,74.7741935483871,80.06666666666666,73.48387096774194,41.3329165,-78.9283422
17,Allen,30.67857142857143,35.690909090909095,29.87096774193548,57.46666666666667,60.064516129032256,82.68333333333334,72.9193548387097,67.7741935483871,58.18333333333333,36.61290322580645,27.066666666666666,32.80645161290323,33.1031744,-96.67055030000002
18,Amador,18.93548387096774,25.107142857142854,32.225806451612904,40.63333333333333,47.193548387096776,53.6,89.80645161290323,85.0,56.9,43.87096774193547,27.03333333333333,20.83870967741936,38.3488921,-120.7740931
20,Anderson,,,43.1081081081081,59.9,64.66101694915254,64.27777777777777,49.53333333333333,62.322033898305094,73.13333333333334,39.774193548387096,9.5,11.714285714285715,36.6497359,-94.4456326
21,Androscoggin,15.5,27.0,33.5,19.0,25.65,41.66666666666666,36.41935483870968,38.67741935483871,29.52,24.8,9.25,24.8,44.030091,-70.0366892
