County Name,01,02,03,04,05,06,07,08,09,10,11,12
Adams,,,,,-174.84555029032256,-165.64890058620693,-163.38154512903228,-166.0823726875,-169.77302046666665,-177.32323989285715,-185.63354587500007,-184.08571462962956
Allegheny,,,,,,65.46506916666667,72.64872603225807,72.76808406451615,,,,
Anne Arundel,,,,,,,,74.1480562631579,70.60172763333335,,,
Arapahoe,,,,,-175.47485314285709,-165.7566364827586,-163.8387097419355,-166.6377366875,-168.7454984,-176.09730931034483,-185.58378416666665,-183.96240548148148
Ashtabula,,,,44.938888866666666,55.4356882826087,61.91249996666667,,,,,,
Baltimore,,,,,,,,81.1311381923077,76.77725752173912,,,
Beaver,28.69018820967742,26.102885534482752,36.632206241935485,49.677801900000006,61.267721033898304,65.1527774814815,72.91216579032256,73.91545303225806,66.35810720338984,49.1674524516129,39.50205759999999,29.66912969354839
Berks,27.616117387096782,25.158295896551717,35.98627070967742,49.43812966666668,60.55653896774193,64.70869589655173,72.6441292903226,73.84398893548388,65.9073409,48.9942403548387,38.08541666666667,27.39877961290323
Bexar,53.06747855737705,54.3698776551724,62.51250754838709,68.63773792982457,75.41690017777779,85.31944446666668,87.18908475510204,83.8441152258064,81.03066263333334,69.56552985,57.39513888333333,55.15322583870967
Billings,,,,,,,,,,47.55,,
Brazoria,59.450747551724135,54.410482241379306,61.811583645161285,66.79172703333333,75.80089996774193,82.3811814,84.04895791999999,83.95757581818181,81.94074578571428,68.40052929032258,58.8091162,56.14950177419354
Bucks,30.976266580645166,28.546217965517233,39.01660716129032,52.291582766666664,63.204524483870955,68.92612631034481,76.55097448387097,76.67677080645163,69.15783716666667,52.43917503225808,41.4494657,30.99434087096774
Cambria,,,31.72450674074075,42.24494163333333,53.80362816129032,57.44106286206897,64.54373083870968,65.3267419032258,58.512804433333336,42.081696516129036,32.808768199999996,24.199390161290324
Custer,21.817204258064518,24.05727813793104,25.844320642857145,,,,,,,,,
Dakota,12.794063064516127,13.081632862068965,24.924640903225804,46.2762157,58.90433361290321,63.824414299999994,71.08634250000001,65.91211258064517,56.85827303333333,40.19882006451613,30.03633988888888,18.41576596774193
Dallas,44.70254151612903,46.05022243636364,57.319169964912284,63.1944354,73.94189196666667,85.34250926666665,90.33044159016394,87.44179863157895,80.8477183,65.65988808474576,56.449731019607846,49.66256198148148
Dauphin,30.150293258064515,27.722137034482756,38.00265154838709,52.251931666666664,63.51023471428572,66.95217920689656,75.97357067741935,76.06436316129032,68.71791826666667,51.79834651612903,40.76553576666666,30.008690258064526
Dearborn,29.443548354838715,25.337643724137934,37.39919351612904,49.72083333333334,62.88325648387097,,,,67.4593954,51.32392477419354,41.69489123333334,33.10618277419355
Delaware,24.949719483870965,25.823489444444448,34.09690164285714,48.12300840000001,58.45224477419355,62.73123237037037,71.89914283333333,,,,,
Duval,48.83333328571428,51.98333339999999,61.34523814285715,61.163888833333324,70.73611116666667,74.1527775,77.95833333333333,76.78611099999999,74.54166683333334,68.33333342857144,58.699999999999996,58.75
Ector,43.81716470967742,47.6647074137931,54.96505380645161,63.12554336666667,71.48924725806452,83.37777786666666,87.0389784516129,82.28502746153846,73.98534803571428,62.16801070967742,49.59081906896552,47.22551375862069
El Paso,49.1445392903226,52.30675284482759,55.44923666129033,63.07442638333334,73.43749998387098,88.82900620370371,88.69889606666665,81.2561595967742,74.95477657627119,62.06389352459017,50.671734517857146,49.697305444444446
Erie,27.234831064516126,22.757656068965513,32.65507316129032,43.20465396666667,56.311833774193545,61.99821,70.57650525806451,71.68486232258064,63.2860065,47.568041258064525,38.51299406666667,27.160012096774203
Essex,,,,,66.85714300000001,66.29340807826088,75.62864348717949,74.47473973770491,70.46766303921568,,,
Fairfield,,,,,,66.84629813445379,75.36653556862746,76.00299499047618,72.37843672340426,,,
Flathead,21.4083625,32.78160920689655,32.145833312499995,53.99999993333334,53.243181863636366,55.424414590909095,58.688172,52.84811825806452,48.7488889,40.26548253846154,43.26190457142858,
Floyd,33.929292866666664,30.58908044827586,42.560483870967744,54.00833333333333,65.66884066666667,71.72222223333334,,,,53.978494612903226,45.679166699999996,37.401881709677426
Galveston,53.95831218181818,52.94619817241379,61.144315129032265,67.2818892,74.92255938709678,79.16319458333332,82.87914855555556,83.28616725925924,82.05160576666667,68.56720422580646,58.59428743333333,55.10033890322581
Gibson,33.23908733333333,28.343390827586212,40.815860193548396,54.319444433333345,67.22825029032258,73.9819445,,,,,,
Gregg,47.192438129032254,45.336236642857145,53.64270362068966,61.813427700000005,71.85046116129033,80.95540793103449,86.03352499999998,84.3830645483871,78.9856225,62.980809966666676,53.38099243333333,48.7668904516129
Hamilton,29.405693552380956,25.037972103448272,37.28270610752688,49.82592592222224,63.746530322580625,68.3659989,77.74303825714284,77.27048020338985,67.96634615384616,53.24126343548387,42.69166666666667,33.99552946774194
Harford,,,,,,78.07773840000002,85.6714691,85.47866993548388,81.47130675000001,,,
Harris,54.85347234453783,52.010545242990645,60.27471565168539,65.74646748275862,75.24830426415096,82.55003915909089,84.0893030659341,82.85546265079363,80.47135044186047,65.47962609625667,57.08054751408451,53.05514505298013
Hartford,,,,,,67.84384055000001,74.87497316091955,75.73738924193547,72.51741258333332,,,
Hunterdon,,,,,,,76.17877293548388,77.09389575,74.60492725000002,,,
Jasper,23.142882172043013,21.056968517241383,,,,,,,61.46884543181819,47.496445311827934,38.81423658888888,27.883980043010755
