,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Nevada,76.89329685362517,64.07136997538966,64.57257142857142,42.86910197869102,65.49282296650718,63.32045303131246,59.300708306503545,45.53935483870968,53.50552147239264,49.56332179930796,57.93580470162749,54.97149643705463,48.13836017569546,45.06060606060606,49.2523782876329,46.30634201585504,49.812395309882746,46.36784351145038,46.86370023419204,49.65718038528897,46.047916666666666,45.29351814105177,44.154097024052184,44.52055955913523,38.988627748294164,39.28209899516189,44.5503746877602,40.04730203223546,37.35830731876518,37.2086005281026,36.525266414575455,36.86486486486486,47.44159875824602,48.093955094991365,44.60115215181295,42.45986124876115,40.31037706450608,40.42528735632184,48.410404624277454
New Hampshire,71.36733287388009,61.120996441281136,64.90783410138249,54.99429657794677,63.18572418572418,66.05829903978052,62.0554794520548,58.871565934065934,63.85968514715948,57.88578680203046,52.75447227191413,47.62814748201439,45.483311081441926,44.69977728285078,43.61768707482993,40.22101939557961,40.168826619964975,39.07750085353363,41.559057730590574,42.69671007539411,36.745959241040055,42.92184300341297,44.101858470335955,44.15396888711607,43.106421194431974,45.18638647784376,41.409693644261544,43.858058608058606,40.66930518909411,40.606543263021955,44.466638865721436,43.60033444816054,39.83991683991684,39.54704412989176,39.131502288805656,39.502508361204015,37.85970636215335,37.7196939186468,32.47457627118644
New Jersey,66.91633603588063,60.952780153977756,61.472696245733786,66.89229968782519,60.844106463878326,62.98390167907218,57.89343360234776,59.83557747013086,60.86803896342584,55.196877869605146,53.58595641646489,57.9787701317716,47.37757145457856,52.685709104098656,51.58012646793134,49.464637421665174,48.44176417641764,49.697824914614415,50.440181374258806,51.03653777935438,46.58170731707317,51.24978058627348,53.378467406380025,47.000702123924874,43.859391395592866,47.386826973340305,47.31046676096181,48.18288881191548,46.19368600682594,40.373951737121345,46.9524407753051,45.81836042150384,45.84840622683469,42.14831211953514,41.77200073488885,43.32851919561243,43.0732813350263,41.316156736446594,28.29310344827586
New Mexico,52.01108545034642,59.6839056681837,55.240257131378065,60.53002821442966,51.641139474657784,45.82916368834882,49.72659906396256,53.26732673267327,47.16056518946692,51.75550337540358,47.63056528264132,46.68500757193337,44.51463597698274,40.89346660165773,39.16752698263726,37.4750122488976,38.817843866171,39.558156727451944,43.574619538537064,41.62824062421344,39.53299736021118,36.51839464882943,37.44911504424779,37.868873492430076,34.941009055627426,38.86399801093983,41.43719182906786,38.84760344121262,39.721730382293764,36.137972405518894,39.05263157894737,42.66565226212214,43.06587803385682,43.00665322580645,39.42686935086278,36.2390180878553,38.31145741878841,43.17143532750059,34.7939393939394
New York,68.44708503527664,61.440939934656946,59.66506053867062,61.54234955586138,58.155426698600785,56.012831585441084,54.140956490471055,55.0128750151828,58.40073810129804,51.8769307424016,49.34576964737032,52.030019367333765,43.68918640576725,44.88799274120375,46.451603325415675,43.10050866616428,41.52474314261476,42.6146771037182,44.13540142425129,45.986603700848114,42.28418724659049,46.21368993653672,47.11817849972623,42.86153987504594,39.037178092129125,42.91754177700667,38.87623581105822,44.65079082992714,42.576848761637095,38.97964942283027,41.02183995277848,39.63460072825811,39.56504100129478,37.61760154738878,36.69109694862881,38.05175438596491,37.21091617933723,34.2185497161692,33.25433526011561
North Carolina,57.506,54.98420098420098,42.26607244452873,42.83571814254859,42.30806360022714,46.74461590639308,49.487566813850805,45.482534373838725,54.349514563106794,43.66218551949299,45.2682210031348,39.846328110251086,38.4,44.99684622177369,41.75479719636907,43.35109551159328,44.884127528282484,50.49184197024115,55.40128410914928,57.74135687732342,56.546899119222736,55.84092315854629,59.33534827490003,50.79317773788151,47.252505190936176,52.94021262069638,52.103725222146274,55.453682319733126,48.56975659401238,40.98974230673005,46.64427798585102,44.33888255416191,41.61626583718989,37.1833432304038,39.06040756914119,38.29975449433753,38.50978989718373,36.40114379084967,27.042168674698797
North Dakota,24.54609929078014,27.982365145228215,34.63632053105737,33.07479601087942,35.30660930778256,36.421155347384854,30.609666564698685,26.627421758569298,33.27823485415109,26.27215888194189,23.852459016393443,22.56102564102564,19.734680357734348,19.14459712679575,20.20403971242725,22.83067867036011,26.921782762691855,24.933765882670993,25.132269099201825,29.207428847081523,28.101529902642557,28.975182863113897,29.729593193299653,30.67183098591549,30.943995541933685,31.592958975851033,31.889501240011022,29.92943437671609,32.80870066263325,32.96166717371463,36.19483870967742,34.875864236329356,36.51944106925881,38.77621522470193,36.46144468149954,36.977802137571935,31.414325068870525,35.39939101750824,36.404133180252586
Ohio,62.2515165655623,60.69623790040914,64.1152459814905,61.84284485230857,60.261528072544856,58.18375355636221,58.11803549319026,59.80490512716997,63.80354299363057,57.941484389605534,56.01779573590096,62.30344486566672,50.68450771433116,54.44338130634193,54.67521436660734,49.24356320887491,48.53712045378712,47.05239267579628,51.96734251663829,56.160250057177706,49.8925600559745,53.129278146200164,55.083911862360395,49.559183673469384,45.498785117691725,51.08565361019349,44.063320340466156,47.70770946161198,43.903331208160665,38.6827772911856,46.38958570885595,43.861616086666174,45.33445617186915,38.975798345318175,39.19762235602903,38.32567432567433,37.789753466872114,36.49022232136218,31.213546880213546
Oklahoma,44.81451104100946,46.51367781155015,40.763623978201636,38.12046783625731,44.448616600790515,45.617543859649125,45.311398354876616,42.64319591390004,49.70884658454647,46.73961499493414,41.827148110999666,38.566968781470294,36.65038650737878,30.83555703802535,36.9236974789916,38.034955896765766,34.82842343800583,37.82434381309489,48.57755863539445,42.5007164790174,43.979144942648595,45.92738665683745,43.893256578947366,45.63620178041543,41.59576868829337,46.2273867492991,47.65670161518844,40.92028254288597,40.86159923716115,41.99850908105178,43.760945370011626,52.15761154855643,48.73715144887917,42.913949532180325,41.196298297757366,38.24470354045216,37.312982805880885,37.89772466099747,33.13526284701713
Oregon,49.579764705882354,51.554545454545455,46.44888059701493,43.632047477744806,44.79552053090004,46.7427665477606,46.0066322770818,47.27980922098569,42.69198438907235,44.72338884866039,42.712386284114764,41.506472491909385,40.30621693121693,37.45615763546798,35.69389088533159,32.50597738287561,33.839894144889186,30.750327653997378,30.431681178834562,36.174116997792495,35.513191098875886,34.3377034358047,37.27839643652561,32.14885145482389,34.43832671957672,33.89952619843924,33.072020309994656,33.76986154052964,36.066743827160494,35.431762366974624,29.670859538784068,32.40029236204166,31.82720677146312,37.08979000724113,31.88448471121178,34.270202337564406,28.40391741662255,37.29720457433291,
Pennsylvania,74.99135406498397,64.41866438356165,67.47575140701713,67.30966893749253,64.36227758007118,64.41445463320463,60.16294238434593,64.01582125603865,69.35526641883519,59.10725326991677,57.3872554627617,60.77898899219836,51.89206008583691,57.38001530556467,58.293029209821945,54.83088919925512,52.300372538584355,54.67035596769369,58.05894211385235,59.06096076411649,52.47840858292356,59.41881014873141,59.27154570830426,53.10154140903945,50.67101737401677,55.51097787535889,48.29796802131912,50.67655686866147,47.80536339567854,44.14947965941344,48.45273127008287,46.77037896365042,48.145995118704235,44.92879499217528,44.429437785388124,45.22334766450484,43.070753344968004,42.51701818181818,37.07258064516129
Puerto Rico,37.14373088685015,39.10948191593353,38.065525383707204,33.20445609436435,28.2094682230869,27.655456417295813,25.18,23.51487252124646,23.21272834413671,23.0928013876843,26.957066189624328,34.891851851851854,31.76613272311213,31.795957651588065,34.47162340519138,28.835800185013877,27.449781659388645,27.728576967816984,26.98606133014735,33.537142857142854,32.209154929577466,30.67924528301887,29.10474430067776,24.93094944512947,24.350518433179722,23.954267404602387,25.57757757757758,22.085617493070526,20.576271186440678,17.904633982538616,17.751805646749837,16.78732726659926,21.817781690140844,19.31063829787234,19.40206896551724,21.46114864864865,20.696554149085795,21.30952380952381,
Rhode Island,71.7816091954023,63.371308016877634,60.07747489239598,57.65860597439545,64.80630630630631,65.17206477732793,61.11050724637681,61.005464480874316,65.77490774907749,57.34345351043643,52.12780656303973,55.26232394366197,48.922413793103445,47.88990825688074,51.06993006993007,46.96806722689075,45.86046511627907,47.26323987538941,45.21105527638191,49.206225680933855,47.10526315789474,55.804111245465535,53.93333333333333,50.28645161290323,46.962724935732645,50.08735332464146,46.19721871049305,48.713010204081634,44.800501882057716,37.67203682393556,40.81182795698925,43.54237288135593,42.87062256809339,40.66329346826127,36.953339432753886,42.03508771929825,38.62627197039778,36.015799256505574,34.25
