State Name,01,02,03,04,05,06,07,08,09,10,11,12
Alaska,4.0658602258064525,13.869047571428569,25.368817258064514,34.127838233333335,42.778810225806446,50.59716186666667,54.89956361290323,47.20546987096775,41.09987926666666,29.03897858064516,17.07856283333333,0.5268817419354843
Arizona,48.9799155020243,46.27010278636362,53.17157016129031,56.81656735714286,68.68185156682027,77.98608400952385,82.03166927272724,82.67351640585775,78.44790089075632,67.07971015983607,57.46927622083332,49.15102780658434
California,49.88521424575806,49.60980081994379,53.68924602182552,55.22411509911546,56.880033627076074,64.60152263265309,73.10833290485427,75.20335718148417,68.36581549723073,60.299535689988026,53.40140000289338,47.02843785045052
Colorado,33.027240281376514,33.16006966145248,36.82372417575753,44.36244401702126,58.33707928153384,63.11133521376435,71.31587296142136,69.23883501617803,65.86073763854165,49.903420996808535,41.824087335533555,29.934140066315752
Connecticut,35.755204916129046,37.78195194761905,41.16027009892471,49.780249937777796,61.3670190885529,66.20659859333337,72.70704448387093,73.09880617204298,66.78660228571432,54.42092973041477,44.53064455714289,39.39596696503501
Country Of Mexico,57.330441544072926,56.56349149025972,60.95216178164556,64.49626887248324,70.58483491408933,76.87210071472394,81.7593950879765,82.84210538709677,78.07654386477985,68.79208015018312,60.94599653759403,54.993259911439125
Delaware,40.75134403225807,41.288690499999994,45.03897851612902,53.314415866666664,,,,,,53.39028988,43.3097222,38.10080638709678
District Of Columbia,43.37470783870967,43.77380953571428,47.649262677419344,58.238888966666664,68.13738896774193,72.52916669999999,,,73.8302371,59.824392258064506,50.93611116666666,45.22446238709677
Florida,67.00134406451613,66.75974025000001,66.82526877419356,71.65174563333333,76.40658600000002,80.78333336666667,80.53763432258066,80.54114070967742,79.8245169,76.99145299999999,72.76527776666667,69.61105787096774
Georgia,45.3359520353982,44.98129310714286,47.986805566666675,59.111352359375,72.00120197115385,77.62398541525423,78.8715029354839,76.12671249999998,73.4424123083333,63.21354123387095,54.87264769166671,48.229411048387085
Hawaii,57.0564515483871,56.43154753571429,58.244085935483874,55.2875,56.12231193548386,59.24027776666667,61.49969585185186,62.19892477419354,61.22083336666666,61.44838703225807,59.34444443333333,57.225806516129026
Idaho,29.634593145161283,29.253789946428572,32.73588703225807,42.098866916666665,50.19057516129032,55.78620165,73.49832080645163,71.62231180645162,62.23937195,46.04637099999999,35.05374396666666,21.005113387096774
Illinois,,,,49.3534003255814,61.9470066168224,67.87646780701755,72.94739896747967,73.21643807438018,68.78354972649574,,,
Indiana,36.316149020334926,40.41253493923385,42.51544650421176,52.99203359363524,66.83521296579248,71.50150002224701,74.79230185513508,74.62051036645295,71.08518062863287,57.315680805888704,47.01205068949771,37.77503288017921
Kentucky,42.26597099731181,44.06416763988094,47.818936874659414,56.12333583532933,69.78392206442578,75.30135001114208,77.25487811590295,76.85050452139035,73.66558437179486,58.876316601522845,49.445311820105815,41.81201386104213
Louisiana,54.47662102150539,54.209902964285696,58.96858466666667,65.30404508219175,77.49382405434781,82.54164285555554,83.88815044086022,82.88155924731181,80.38759462222224,71.7674323548387,65.55888048888892,58.43637990322583
Maine,22.386666888235297,26.840986638297867,32.40307085795455,43.12944090728476,57.13634945595856,59.584512169154245,66.31255694623653,66.38947151075268,58.75897192178773,47.12911131034481,37.030560475,29.938113596774198
Maryland,40.85233380645162,42.291454107142854,45.88875253225806,55.434869587044545,65.87977200363636,70.38271656179774,75.32630429856114,74.97477401433692,70.79720821481486,56.84921427372264,48.32355442857143,42.43279569354839
Massachusetts,32.60334055425219,35.39406654285713,39.92379616774195,48.94708916666665,60.45160681524928,62.810955212418314,70.862212,70.17913827631577,63.510368346666596,51.21727973548387,40.88613604778158,36.231688093189966
Michigan,30.866901155241905,35.356488244394626,37.68545087298387,48.55648109171071,63.71669955429506,66.65508367317936,71.58184231011606,71.51549248543687,66.25192763237764,53.07453459013604,42.912299649090905,36.58400961092152
Minnesota,13.256647629629631,29.593875954545453,28.126071354838714,48.03648984444444,60.21308408695649,62.196195611111065,68.92383510752686,69.14631054838708,61.862037055555525,47.2274462688172,31.47710249438202,17.506136053763445
Missouri,36.06713097419355,42.42547619285715,42.64070727814568,55.17583332666666,69.21507350735294,74.4984903695652,78.0032335032258,77.55967743870964,73.7946256,58.705726993548396,48.64388888000001,36.822042987096765
Montana,24.677301367924525,33.464548072378165,31.826848616419955,45.82808560953801,55.65941039732146,56.210869242245224,72.2137085072046,70.90970740112999,64.58578545972223,46.96563854495915,36.79753169004206,25.426607769851966
Nevada,34.074664935483874,29.391235285714288,35.536231903225804,40.01149420689655,49.29038093548388,57.081098966666666,72.24696619354839,71.17568206451612,58.62506043333333,43.97311825806452,37.39788646666667,28.161290322580644
New Hampshire,19.686827870967743,23.886666679999998,31.60133238709677,41.393162461538466,58.0672043548387,60.555138433333326,,64.96236548387097,57.594444466666666,46.219993214285715,34.84583320000001,29.049169096774197
New Jersey,,,,,,68.31481483333333,74.94758064516134,74.36469529032254,,,,
New Mexico,45.82267664976961,46.30796639030613,53.074675299539166,59.424777570048356,73.32008446313355,80.94095547619047,81.46340059534887,80.00259216129032,78.67719115714287,64.86507443920597,53.811455635658874,44.76955009973754
New York,32.057498444444434,33.24397393983742,37.876839461864385,47.77759448099412,61.86365174587912,65.3868657890296,70.40055161171661,70.69342431989259,63.81150051814223,51.460732668021755,41.536274687587145,35.43854175537634
North Carolina,46.147205725806444,47.56898794047619,51.17293906989247,59.760423761111106,69.24414027956988,77.30705516111111,78.93108155376343,76.38986754838706,73.53192443888885,61.53539049462366,53.390294946902664,47.99166519354839
