State Name,01,02,03,04,05,06,07,08,09,10,11,12
Alabama,43.01442307692308,45.21546961325967,45.598214285714285,50.48341232227488,55.69683257918552,55.70984455958549,77.62311557788945,86.50228310502283,54.17272727272727,43.77922077922078,40.6580310880829,39.734042553191486
Alaska,56.02777777777778,70.79120879120879,56.78481012658228,34.333333333333336,18.129032258064516,18.483333333333334,24.032258064516128,29.161290322580644,42.666666666666664,48.11290322580645,92.35,102.79032258064517
Arizona,58.01954397394137,57.32129963898917,46.420195439739416,78.29225352112677,91.79220779220779,94.41444866920152,71.96393442622951,83.07608695652173,84.01369863013699,68.85763888888889,59.820945945945944,60.86805555555556
Arkansas,15.827956989247312,24.541666666666668,23.25,23.352272727272727,20.823529411764707,32.74666666666667,40.26027397260274,46.46774193548387,38.28333333333333,27.467741935483872,16.666666666666668,15.887096774193548
California,49.533009708737865,45.3020719738277,40.23733583489681,45.977777777777774,72.0749354005168,73.73878627968338,83.92047377326566,81.65817584223501,79.49956255468067,65.60902896081771,48.58467360454115,43.05478180129991
Colorado,64.52842809364549,43.666666666666664,46.96208530805687,41.074074074074076,41.917808219178085,53.02061855670103,59.03741496598639,80.66417910447761,54.64312267657993,49.58139534883721,54.263698630136986,61.61678832116788
Connecticut,70.47311827956989,74.01190476190476,63.075268817204304,63.913333333333334,68.35714285714286,141.02857142857144,119.0965909090909,101.86021505376344,105.72625698324022,49.413978494623656,53.186440677966104,57.36290322580645
Delaware,44.962025316455694,50.0625,48.675324675324674,70.29885057471265,61.561797752808985,116.34831460674157,128.63953488372093,109.6236559139785,83.70114942528735,58.68888888888889,57.86585365853659,61.592592592592595
District Of Columbia,62.25806451612903,69.42857142857143,70.09677419354838,59.266666666666666,45.29032258064516,92.86666666666666,129.3548387096774,114.70967741935483,80.93333333333334,55.45161290322581,71.53333333333333,59.58064516129032
Florida,45.83969465648855,43.54881266490765,47.75,53.62102689486552,45.87472527472527,40.47877358490566,40.57251908396947,38.83030303030303,34.88197424892704,38.478971962616825,47.89008042895443,40.494089834515364
Georgia,33.87394957983193,29.804979253112034,31.936758893280633,37.17299578059072,37.89772727272727,36.35341365461847,61.25,62.14975845410628,33.54106280193237,30.56910569105691,31.477732793522268,33.2688679245283
Hawaii,54.96774193548387,63.67857142857143,54.03225806451613,42.766666666666666,37.806451612903224,28.5,23.451612903225808,31.096774193548388,54.2,50.935483870967744,55.166666666666664,64.70967741935483
Idaho,62.950413223140494,57.59782608695652,54.14,52.3177570093458,53.733870967741936,50.84873949579832,62.17977528089887,71.46739130434783,71.0,63.57142857142857,52.30434782608695,52.467213114754095
Illinois,38.58156028368794,48.13302752293578,42.513623978201636,44.90784044016506,48.910039113428944,76.843163538874,77.19812583668005,80.6159122085048,61.52066115702479,44.18361955085865,42.44604316546763,44.865650969529085
Indiana,61.1723700887199,74.64914772727273,65.25124378109453,60.297845373891,62.66990291262136,76.72150259067358,80.76021080368906,85.11435523114355,71.58002406738869,58.77341040462428,62.25814234016888,69.94076655052265
Iowa,32.32258064516129,47.74407582938389,37.294642857142854,40.150862068965516,44.1875,58.306603773584904,56.869198312236286,63.71308016877637,64.06363636363636,41.35267857142857,33.0042194092827,35.44635193133047
Kansas,45.76315789473684,57.743589743589745,43.8494623655914,32.08641975308642,43.54216867469879,53.62352941176471,68.0,80.32558139534883,58.644444444444446,46.98924731182796,42.04938271604938,34.586666666666666
Kentucky,53.406741573033706,61.24561403508772,53.651416122004356,44.71395881006865,46.431890179514255,71.46990496304119,89.8944618599791,108.0881427072403,66.91452991452991,45.16182572614108,45.33250620347395,53.988425925925924
Louisiana,27.95,36.0985401459854,43.86350148367953,42.22686567164179,50.83727034120735,39.78236397748593,46.20178571428571,48.05105633802817,47.95404411764706,43.96296296296296,31.005235602094242,27.383522727272727
Maine,58.11073825503356,66.15686274509804,49.6957928802589,41.03353658536585,43.29970326409496,55.46504559270517,58.71554252199414,54.5125786163522,61.371134020618555,43.24193548387097,46.052830188679245,50.025830258302584
Maryland,33.13986013986014,48.07531380753138,42.81818181818182,53.1985559566787,55.25429553264605,106.79094076655052,121.33225806451613,116.24598930481284,76.44802867383513,38.99683544303797,43.18556701030928,32.66770186335404
Massachusetts,67.30718954248366,66.64388489208633,52.91475409836065,67.24814814814815,64.73835125448029,102.46468401486989,93.63082437275986,83.85920577617328,80.5539033457249,54.54838709677419,61.20676691729323,69.92831541218638
Michigan,32.645418326693225,39.393478260869564,33.19315895372233,41.043795620437955,43.08348457350272,63.66847826086956,57.79609929078014,50.87193973634652,46.04887218045113,33.157116451016634,30.786026200873362,30.659003831417625
Minnesota,51.154545454545456,42.84615384615385,45.448113207547166,49.82403433476395,49.074074074074076,51.91025641025641,56.331932773109244,52.15853658536585,46.61135371179039,47.68260869565217,38.10970464135021,49.78991596638655
Mississippi,21.4875,15.308641975308642,31.953488372093023,30.964285714285715,34.24576271186441,34.208695652173915,38.20161290322581,42.621848739495796,36.88135593220339,30.553719008264462,23.61864406779661,25.16470588235294
Missouri,47.693333333333335,55.88721804511278,48.50666666666667,41.829181494661924,45.66211604095563,61.62162162162162,70.82817869415807,88.86798679867987,64.8542372881356,48.237785016286644,48.943396226415096,48.50515463917526
Montana,53.06741573033708,43.90963855421687,40.422077922077925,44.18881118881119,39.069182389937104,36.851351351351354,59.48453608247423,55.36666666666667,54.414414414414416,74.75806451612904,61.020833333333336,53.61788617886179
