State Name,01,02,03,04,05
Alabama,34.35144927536232,27.822580645161292,,,
Alaska,34.0,40.25,41.903225806451616,,
Arizona,42.35572139303483,42.002747252747255,39.87064676616915,10.8,
Arkansas,33.92941176470588,30.728813559322035,42.94690265486726,,
California,39.57736720554273,40.546542553191486,35.95635673624288,54.07446808510638,
Colorado,35.92992700729927,38.07455429497569,39.38864628820961,34.24193548387097,
Connecticut,32.16129032258065,33.5,,,
Country Of Mexico,73.5,62.82142857142857,47.354838709677416,71.57894736842105,
Delaware,39.03225806451613,36.607142857142854,42.10752688172043,,
District Of Columbia,43.903225806451616,44.464285714285715,38.96774193548387,37.8,
Florida,39.86065573770492,35.142857142857146,54.403225806451616,61.833333333333336,68.0
Georgia,33.159624413145536,32.09181141439206,,,
Hawaii,89.12903225806451,131.60714285714286,39.61290322580645,,
Idaho,24.006451612903227,21.821428571428573,19.683870967741935,13.166666666666666,
Illinois,33.751773049645394,35.76535433070866,38.82065217391305,,
Indiana,35.38068709377902,34.4577685088634,34.63145258103241,22.5,
Iowa,42.24786324786325,43.05625,42.32125603864734,47.69444444444444,
Kentucky,31.92622950819672,30.419642857142858,39.516129032258064,,
Louisiana,32.800925925925924,29.110732538330495,41.54868624420402,45.17617449664429,
Maine,33.68018018018018,36.98770491803279,40.54692556634304,42.42087542087542,
Maryland,35.71875,34.14689265536723,38.550863723608444,,
Massachusetts,39.54271356783919,37.894444444444446,38.58942065491184,,
Michigan,24.427745664739884,27.12258064516129,21.467532467532468,,
Minnesota,33.679282868525895,32.30769230769231,28.922,,
Mississippi,28.32,26.62962962962963,,,
Montana,17.177419354838708,21.625,24.629032258064516,,
Nebraska,31.063694267515924,37.81147540983606,41.333333333333336,,
Nevada,52.08620689655172,47.283018867924525,45.935483870967744,,
New Hampshire,31.322580645161292,33.75,,,
New Jersey,28.096774193548388,28.51851851851852,,,
New Mexico,32.376344086021504,31.702380952380953,32.45161290322581,46.5,
New York,34.87413394919169,33.71190476190476,31.244094488188978,,
North Carolina,27.66916354556804,25.693430656934307,26.661993769470406,49.233333333333334,
North Dakota,30.796666666666667,34.48708487084871,43.74333333333333,,
Ohio,28.8604898828541,29.757177033492823,34.85256950294861,5.714285714285714,
Oklahoma,29.841441441441443,27.782945736434108,40.51446945337621,,
Pennsylvania,36.25698324022346,36.611111111111114,44.193548387096776,,
Rhode Island,34.25,,,,
South Carolina,32.88203753351206,29.251131221719458,41.332703213610586,42.31725417439703,
Tennessee,32.45652173913044,30.077380952380953,43.51456310679612,46.142857142857146,
Texas,35.30434782608695,31.821428571428573,45.354838709677416,,
Utah,41.148883374689824,37.505494505494504,42.99503722084367,42.693726937269375,
Virginia,26.3551912568306,23.988338192419825,14.329113924050633,8.666666666666666,
Washington,29.412422360248446,,,,
West Virginia,26.321070234113712,24.012,30.775675675675675,6.466666666666667,
Wisconsin,33.82950191570881,27.625,,,
Wyoming,30.01492537313433,31.89344262295082,28.142857142857142,,
