county Name,01,02,03,04,05,06,07,08,09,10,11,12
Abbeville,,,55.72727272727273,65.33333333333333,78.7741935483871,65.12,62.333333333333336,111.90322580645162,47.63333333333333,43.1,44.111111111111114,
Ada,45.87096774193548,36.75,36.935483870967744,32.2,29.838709677419356,33.3,41.12903225806452,42.096774193548384,41.733333333333334,42.87096774193548,41.5,48.03225806451613
Adams,33.9811320754717,38.471698113207545,35.448,46.68666666666667,61.89677419354839,53.82,52.98039215686274,49.07741935483871,49.625,42.68421052631579,45.32231404958678,37.17557251908397
Aiken,18.0,16.178571428571427,42.774193548387096,55.53333333333333,70.29032258064517,14.96,63.83870967741935,97.35483870967742,66.9,37.483870967741936,14.566666666666666,15.2
Alachua,36.61290322580645,51.82142857142857,77.72413793103448,64.73333333333333,61.36666666666667,38.827586206896555,40.54838709677419,49.12903225806452,55.166666666666664,33.266666666666666,23.3,21.967741935483872
Alamance,57.714285714285715,50.333333333333336,49.25,51.888888888888886,58.375,63.3,82.55555555555556,78.9090909090909,52.75,57.42857142857143,29.5,45.8
Alameda,43.45161290322581,42.5,38.25806451612903,49.93333333333333,40.38709677419355,43.9,52.29032258064516,49.225806451612904,60.03333333333333,72.93548387096774,47.43333333333333,61.67741935483871
Alamosa,17.677419354838708,22.214285714285715,25.666666666666668,19.7,16.379310344827587,18.46153846153846,16.36,11.714285714285714,12.578947368421053,30.35,43.392857142857146,25.476190476190474
Albany,31.69047619047619,28.23076923076923,36.63636363636363,34.88095238095238,35.38636363636363,53.1219512195122,58.56818181818182,39.404761904761905,38.82608695652174,26.066666666666666,26.404761904761905,26.930232558139537
Alexander,8.052631578947368,9.642857142857142,9.935483870967742,44.96666666666667,55.32258064516129,60.56666666666667,43.96774193548387,79.64516129032258,50.1,30.096774193548388,7.928571428571429,7.612903225806452
Alexandria City,41.32258064516129,44.57142857142857,44.483870967741936,50.233333333333334,68.74193548387096,62.166666666666664,98.90322580645162,88.87096774193549,49.3,35.29032258064516,35.275862068965516,41.0
